State,Year,Gender,Type,Total
A & N Islands,2001,Female,Bankruptcy or Sudden change in Economic,0
A & N Islands,2001,Female,By Consuming Insecticides,0
A & N Islands,2001,Female,By Consuming Other Poison,9
A & N Islands,2001,Female,By Drowning,1
A & N Islands,2001,Female,By Fire-Arms,0
A & N Islands,2001,Female,By Fire/Self Immolation,4
A & N Islands,2001,Female,By Hanging,36
A & N Islands,2001,Female,By Jumping from (Building),0
A & N Islands,2001,Female,By Jumping from (Other sites),0
A & N Islands,2001,Female,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2001,Female,By Machine,0
A & N Islands,2001,Female,By Other means (please specify),0
A & N Islands,2001,Female,By Over Alcoholism,0
A & N Islands,2001,Female,By Overdose of sleeping pills,0
A & N Islands,2001,Female,By Self Infliction of injury,0
A & N Islands,2001,Female,By coming under running vehicles/trains,0
A & N Islands,2001,Female,By touching electric wires,0
A & N Islands,2001,Female,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2001,Female,Cancer,0
A & N Islands,2001,Female,Causes Not known,12
A & N Islands,2001,Female,Death of Dear Person,1
A & N Islands,2001,Female,Diploma,0
A & N Islands,2001,Female,Divorce,0
A & N Islands,2001,Female,Divorcee,0
A & N Islands,2001,Female,Dowry Dispute,0
A & N Islands,2001,Female,Drug Abuse/Addiction,0
A & N Islands,2001,Female,Failure in Examination,2
A & N Islands,2001,Female,Fall in Social Reputation,0
A & N Islands,2001,Female,Family Problems,7
A & N Islands,2001,Female,Farming/Agriculture Activity,0
A & N Islands,2001,Female,Graduate,0
A & N Islands,2001,Female,House Wife,38
A & N Islands,2001,Female,Hr. Secondary/Intermediate/Pre-Universit,0
A & N Islands,2001,Female,Ideological Causes/Hero Worshipping,0
A & N Islands,2001,Female,Illegitimate Pregnancy,0
A & N Islands,2001,Female,Illness (Aids/STD),0
A & N Islands,2001,Female,Insanity/Mental Illness,5
A & N Islands,2001,Female,Love Affairs,1
A & N Islands,2001,Female,Married,38
A & N Islands,2001,Female,Matriculate/Secondary,6
A & N Islands,2001,Female,Middle,33
A & N Islands,2001,Female,Never Married,12
A & N Islands,2001,Female,No Education,4
A & N Islands,2001,Female,Not having Children(Barrenness/Impotency,0
A & N Islands,2001,Female,Other Causes (Please Specity),8
A & N Islands,2001,Female,Other Prolonged Illness,14
A & N Islands,2001,Female,Others (Please Specify),1
A & N Islands,2001,Female,Paralysis,0
A & N Islands,2001,Female,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2001,Female,Post Graduate and Above,0
A & N Islands,2001,Female,Poverty,0
A & N Islands,2001,Female,Primary,7
A & N Islands,2001,Female,Professional Activity,0
A & N Islands,2001,Female,Professional/Career Problem,0
A & N Islands,2001,Female,Property Dispute,0
A & N Islands,2001,Female,Public Sector Undertaking,0
A & N Islands,2001,Female,Retired Person,0
A & N Islands,2001,Female,Self-employed (Business activity),0
A & N Islands,2001,Female,Seperated,0
A & N Islands,2001,Female,Service (Government),0
A & N Islands,2001,Female,Service (Private),0
A & N Islands,2001,Female,Student,11
A & N Islands,2001,Female,Suspected/Illicit Relation,0
A & N Islands,2001,Female,Unemployed,0
A & N Islands,2001,Female,Unemployment,0
A & N Islands,2001,Female,Widowed/Widower,0
A & N Islands,2001,Male,Bankruptcy or Sudden change in Economic,0
A & N Islands,2001,Male,By Consuming Insecticides,0
A & N Islands,2001,Male,By Consuming Other Poison,7
A & N Islands,2001,Male,By Drowning,2
A & N Islands,2001,Male,By Fire-Arms,0
A & N Islands,2001,Male,By Fire/Self Immolation,1
A & N Islands,2001,Male,By Hanging,69
A & N Islands,2001,Male,By Jumping from (Building),0
A & N Islands,2001,Male,By Jumping from (Other sites),0
A & N Islands,2001,Male,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2001,Male,By Machine,0
A & N Islands,2001,Male,By Other means (please specify),0
A & N Islands,2001,Male,By Over Alcoholism,0
A & N Islands,2001,Male,By Overdose of sleeping pills,0
